,Tel,Price,Metrdist,N,lon,Bal,Kitsp,lat,Brick,Totsp,Walk,Dist,Livesp,Rooms,District,New,Nfloors,Floor
2221,0.0,3950000,24,2221,37.639779,0.0,–,55.888952,1.0,33,1.0,1.2789578489114066,27,1,0,0.0,7,7
2222,,4061875,8,2222,37.597562,,"9,9",55.879981,1.0,"33,5",1.0,1.2789578489114066,"13,9",1,0,,20,20
2223,0.0,4200000,,2223,37.550217,1.0,"12,5",55.9203,,"40,1",,1.2789578489114066,17,1,0,0.0,9,4
2224,,4331000,8,2224,37.597261,1.0,10,55.880065,1.0,"35,5",1.0,1.2789578489114066,14,1,0,,17,4
2225,1.0,4350000,,2225,37.716576,,"7,5",55.873753,0.0,"35,2",,1.2789578489114066,"19,5",1,0,,4,1
2226,1.0,4400000,20,2226,37.715606,,6,55.870587,,33,0.0,1.2789578489114066,19,1,0,0.0,9,8
2227,1.0,4400000,9,2227,37.623784,1.0,9,55.850472,1.0,32,0.0,1.2789578489114066,17,1,0,,18,11
2228,1.0,4400000,15,2228,37.718588,,"3,4",55.879763,1.0,"23,3",0.0,1.2789578489114066,"15,5",1,0,0.0,5,1
2229,,4414000,5,2229,37.590693,,–,55.804072,1.0,"28,5",1.0,1.2789578489114066,15,1,0,,46,7
2230,,4443376,8,2230,37.597562,,"13,6",55.879981,1.0,"40,9",1.0,1.2789578489114066,"16,5",1,0,,20,13
2231,1.0,4446000,8,2231,37.597261,1.0,12,55.880065,1.0,"39,7",1.0,1.2789578489114066,"15,5",1,0,,20,4
2232,1.0,4475000,5,2232,37.690444,,"5,9",55.885999,,"32,6",0.0,1.2789578489114066,"18,9",1,0,0.0,9,1
2233,1.0,4500000,25,2233,37.667393,,"5,8",55.83525,,"30,1",1.0,1.2789578489114066,"18,4",1,0,0.0,5,1
2234,1.0,4500000,5,2234,37.669441,1.0,9,55.869142,1.0,38,1.0,1.2789578489114066,16,1,0,,17,15
2235,0.0,4500000,20,2235,37.639779,,10,55.888952,1.0,33,1.0,1.2789578489114066,20,1,0,0.0,6,4
2236,1.0,4500000,15,2236,37.715606,,"6,7",55.870587,0.0,"32,6",0.0,1.2789578489114066,"18,8",1,0,0.0,9,9
2237,,4530288,8,2237,37.597562,,"13,6",55.879981,1.0,"41,7",1.0,1.2789578489114066,"17,3",1,0,,20,18
